No,Soal,Opsi,Kunci
1,"Perhatikan potongan ayat Surah Al-Hujurat ayat 13 dibawah ini! Berdasarkan potongan ayat surat Al Hujurat ayat 13, menunjukan bahwa Allah SWT Maha … . Gambar Tanpa Teks","Maha Pengasih dan Maha Penyayang;Maha Mengetahui dan Maha Teliti;Maha Perkasa dan Maha pemurah;Maha Mengetahui dan Maha Penyayang","Maha Mengetahui dan Maha Penyayang"
2,"Perhatikan beberapa pernyataan dibawah ini! 1) Membersihkan halaman rumah 2) Membuang sampah di kolam 3) Membuang sampah di tempat sampah 4) Membiarkan sampah yang berserakan Contoh sikap yang mencerminkan meneladani al-Quddus ditunjukan oleh nomor … .","2) dan 4);3) dan 4);1) dan 3);3) dan 4)","1) dan 3)"
3,"Perhatikan beberapa pernyataan di bawah ini! 1) Usia baligh untuk laki laki adalah 30 tahun 2) Usia baligh untuk permpuan adalah 20 tahun 3) Keluarnya cairan karena ihtilam bagi laki laki 4) Mengalami Haid/datang bulan bagi perempuan Pernyataan diatas, tanda baligh menurut ulama fikih ditunjukan oleh nomor … .","2) dan 4);3) dan 4);1) dan 3);2) dan 3)","3) dan 4)"
4,"Saat itu kondisi masyarakat kota Mekkah hidup dibawah tekanan kaum Quraisy, sehingga menjadi penyebab Nabi Muhammad dan umatnya memutuskan hijrah ke Madinah. Selain itu juga karena adanya kesepakatan yang tertuang dalam Perjanjian … .","Hudaibiyah;Fathul Makkah;Piagam Madinah;Aqabah","Aqabah"
5,"Peristiwa duka yang menjad asbabun nuzul surat al Kaustar yaitu karena meninggalnya orang-orang dekat Nabi Muhammad SAW. Tahun ini disebut dengan tahun kesedihan atau dikenal dengan istilah …","Ulul Azmi;Amul Husni;Umul mukminin;Hijriyah","Amul Husni"
6,"Sahabat Nabi yang terkenal karena keberaniannya menggantikan tidur di tempat tidurnya Nabi Muhammad SAW untuk menghindari kepungan kaum Quraisy ketika beliau hendak berangkat hijrah adalah ... ","Umar Bin Khattab;Ali Bin Abu Thalib;Usman Bin Affan;Abu Bakar Ash-Shiddiq","Ali Bin Abu Thalib"
7,"Allah SWT menciptakan manusia dari suku, bangsa, ras dan tradisi yang berbeda-beda agar manusia saling mengenal. Perbedaan tersebut bukanlah suatu masalah yang dapat menimbulkan pertikaian jika kita mengedepankan sikap ... .","Takabur;Tasamuh;Egois;Qanaah","Tasamuh"
8,"Perhatikan ayat – ayat berikut ini! Jumlah huruf dari ketiga ayat berikut yang benar adalah ... . Gambar Tanpa Teks","1) berjumlah 18 huruf, 2) berjumlah 14 huruf,3) berjumlah 19 huruf;1) berjumlah 15 huruf, 2) berjumlah 12 huruf,3) berjumlah 19 huruf;1) berjumlah 17 huruf, 2) berjumlah 14 huruf,3) berjumlah 19 huruf;1) berjumlah 16 huruf, 2) berjumlah 13 huruf,3) berjumlah 19 huruf","1) berjumlah 17 huruf, 2) berjumlah 14 huruf,3) berjumlah 19 huruf"
9,"Perhatikan pernyataan di bawah ini! 1. Huruf lam dibaca jelas 2. Huruf lam tidak terbaca (hilang suaranya) 3. Di atas huruf lam terdapat tanda baca sukun 4. Di atas huruf lam terdapat tanda baca tasydid Ciri-ciri bacaan Idgam Syamsiyah ditujukan nomor ... . ","2 dan 4;3 dan 4;2 dan 3;1 dan 2","2 dan 4"
10,"Perhatikan ayat di bawah ini! Kalimat tersebut mengandung hukum bacaan Izhar Halqi karena ... . Gambar Tanpa Teks","Huruf kha bertemu dengan huruf ra sukun;Huruf wawu bertemu salah satu huruf hijaiyah yaitu alif dan nun mati;Nun mati bertemu dengan salah satu huruf hijaiyah yaitu ra;Nun mati bertemu dengan salah satu huruf hijaiyah yaitu kha","Nun mati bertemu dengan salah satu huruf hijaiyah yaitu kha"
